Agency,Complaint Type,BMP,Public View,Location_Type,Descriptor,Additional_Details,Location_Details,Severity
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Electric/Gas Range,Control Knob Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Electric/Gas Range,No Gas or Electricity,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Electric/Gas Range,Pilot Light Out,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Refrigerator,Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Refrigerator,Control Knob Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Refrigerator,Freezer Door Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Refrigerator,Leaking Under Unit,Kitchen,
Department of Housing Preservation and Development,Appliance,DAMP,Yes,Apartment,Refrigerator,Shelf Broken/Loose/Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Dishwasher,Broken or Leaking,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Control Knob Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Electric Outlet Sparking,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,No Stove Knob Covers,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Oven Door Loose,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Oven Door Missing or Broken,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Pilot Light Out,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Electric/Gas Range,Range/Oven Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Refrigerator,Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Refrigerator,Door Handle Broken or Missing,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Refrigerator,Freezer Making Loud Noise,Kitchen,
Department of Housing Preservation and Development,Appliance,DPM,Yes,Apartment,Refrigerator,Leaking Under Unit,Kitchen,
